Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
MARFRIG;6.42;43540000000.0;-122750000000.0;-7730000000.0;15320000000.0;11.1;-5.6;62130000000.0;43540000000.0;1.86;-36.27;138080000000.0;1520000000.0;5740000000.0;289320000.0;4.15;13.93;1.05;-2.61;6.14;-2.46
LOCAWEB SERVIÇOS DE INTERNET S.A;5.77;-986750000.0;-661400000.0;-19110000.0;562500000.0;45.96;-1.56;73310000.0;-986750000.0;2.02;-0.16;1220000000.0;63150000.0;175090000.0;-2740000.0;14.31;0.88;1.18;-179.89;4.89;-0.03
ALIANSCSONAE;22.08;-1710000000.0;27410000.0;3910000000.0;1880000000.0;101.48;210.74;0.0;-1710000000.0;29.06;8.85;1860000000.0;5850000000.0;6260000000.0;-1590000000.0;336.86;2.35;0.86;3.95;25.57;5.58
CIA BRASILEIRA DE DISTRIBUIÇÃO;3.54;2940000000.0;-5020000000.0;-1850000000.0;1360000000.0;21.36;-29.0;6160000000.0;2940000000.0;-9.57;-3.88;6390000000.0;-1120000000.0;928000000.0;545000000.0;14.53;0.0;0.09;-0.5;41.53;-7.1
CSN MINERAÇÃO S.A.;4.81;-281600000.0;-8490000000.0;2400000000.0;6740000000.0;44.23;15.73;7580000000.0;-281600000.0;20.28;5.08;15230000000.0;4250000000.0;5270000000.0;-594470000.0;34.59;18.93;2.52;11.01;1.91;0.44
BANCO DO BRASIL;49.87;-65260000000.00001;-179030000000.0;32540000000.0;84370000000.0;32.03;12.35;0.0;-65260000000.00001;20.01;5.1;263400000000.0;42560000000.0;0.0;-10020000000.0;0.0;9.27;0.88;4.49;56.75;11.1
YDUQS;18.65;4270000000.0;-2020000000.0;113390000.0;2840000000.0;58.53;2.33;5420000000.0;4270000000.0;8.83;0.93;4860000000.0;794230000.0;1530000000.0;38210000.0;31.58;0.0;1.84;52.32;10.16;0.36
ULTRAPAR PARTICIPAÇÕES;19.78;8510000000.0;-127970000000.0;1430000000.0;7420000000.0;5.48;1.06;14220000000.0;8510000000.0;10.62;3.07;135400000000.0;3150000000.0;3910000000.0;-357240000.0;2.88;1.76;1.82;16.08;10.85;1.23
TIM;15.52;1450000000.0;-11460000000.0;2020000000.0;11480000000.0;50.05;8.82;4790000000.0;1450000000.0;11.37;2.0;22940000000.0;3550000000.0;10880000000.0;-125910000.0;47.42;5.39;1.48;18.56;10.46;0.84
USIMINAS;16.31;959980000.0;-26990000000.0;601230000.0;3240000000.0;10.73;1.99;5900000000.0;959980000.0;-2.48;0.64;30240000000.0;-287560000.0;1260000000.0;-446760000.0;4.17;0.0;0.86;55.8;18.92;0.29
ATACADÃO;9.07;15220000000.0;-89580000000.0;587000000.0;21280000000.0;19.19;0.53;21430000000.0;15220000000.0;8.89;0.73;110860000000.0;4410000000.0;6400000000.0;-757000000.0;5.78;2.44;0.97;49.4;9.31;0.18
CYRELA;18.35;1960000000.0;-3970000000.0;1030000000.0;1880000000.0;32.16;17.54;4840000000.0;1960000000.0;7.42;3.59;5850000000.0;1060000000.0;1030000000.0;-137910000.0;17.62;2.78;0.98;7.81;18.81;2.35
COSAN;15.76;44500000000.0;-31550000000.0;1330000000.0;10350000000.0;24.7;3.17;60240000000.0;44500000000.0;12.8;1.79;41900000000.0;10190000000.0;13330000000.0;-189400000.0;31.82;2.76;1.65;-25.56;9.57;-0.62
3R PETROLEUM ÓLEO E GÁS S.A.;32.06;1600000000.0;-1530000000.0;526290000.0;831610000.0;35.27;22.32;2430000000.0;1600000000.0;-2.75;2.9;2360000000.0;113920000.0;485960000.0;324850000.0;20.61;0.0;1.46;16.08;21.89;1.99
LOCALIZA;51.4;27120000000.0;-17990000000.0;1300000000.0;7710000000.0;30.0;5.06;36850000000.0;27120000000.0;8.24;1.5;25690000000.0;5140000000.0;9310000000.0;-60530000.0;36.22;2.17;2.19;41.79;23.46;1.23
CIA SIDERURGICA NACIONAL;11.31;28490000000.0;-33030000000.0;-104830000.0;11310000000.0;25.51;-0.24;41670000000.0;28490000000.0;6.27;-0.13;44330000000.0;4040000000.0;7170000000.0;-265850000.00000003;16.17;26.09;0.81;-25.31;13.94;-0.45
NATURA &CO HOLDING S.A.;12.51;9930000000.0;-12090000000.0;-2830000000.0;22310000000.0;64.7;-8.22;13390000000.0;9930000000.0;-1.1;-3.22;34490000000.0;-289940000.0;1940000000.0;-83360000.0;5.62;0.0;0.84;-6.11;14.85;-2.05
SEQUOIA;0.45;915580000.0;-1220000000.0;-288360000.0;134220000.0;9.93;-21.33;1010000000.0;915580000.0;-12.62;-15.92;1350000000.0;-121090000.0;43630000.0;51600000.0;3.23;0.0;0.26;-0.32;1.75;-1.39
INFRACOMMERCE;1.35;522150000.0;-564630000.0;-276650000.0;425720000.0;42.99;-27.93;747730000.0;522150000.0;-3.06;-4.82;990350000.0;-64519999.99999999;50150000.0;-1680000.0;5.06;0.0;0.37;-1.89;3.66;-0.71
EQUATORIAL ENERGIA;31.06;33580000000.0;-24160000000.0;2310000000.0;10020000000.0;29.31;6.77;43170000000.0;33580000000.0;9.77;3.34;34180000000.0;6510000000.0;8300000000.000001;-471580000.0;24.29;1.15;1.91;21.62;16.23;1.44
CEA MODAS;5.02;745410000.0;-3030000000.0;29380000.0;3210000000.0;51.38;0.47;1710000000.0;745410000.0;7.3;0.25;6240000000.0;358580000.0;668330000.0;23600000.0;10.71;0.0;0.54;52.66;9.34;0.1
GRUPO MATEUS;6.05;2100000000.0;-19040000000.0;1130000000.0;5240000000.0;21.59;4.67;3460000000.0;2100000000.0;13.12;3.75;24290000000.0;1540000000.0;1900000000.0;-35410000.0;7.82;0.0;1.67;11.92;3.61;0.51
LOJAS QUERO-QUERO S/A;3.27;177810000.0;-1560000000.0;-32300000.0;774790000.0;33.14;-1.38;384240000.0;177810000.0;4.72;-1.55;2340000000.0;62940000.0;181150000.0;20610000.0;7.75;0.0;1.19;-18.96;2.74;-0.17
WEG;33.99;-2700000000.0;-21620000000.0;5130000000.0;10130000000.0;31.91;16.14;2780000000.0;-2700000000.0;27.57;8.76;31760000000.0;6050000000.0;6650000000.0;-1040000000.0;20.94;1.75;9.27;28.38;3.67;1.2
SUZANO S.A;55.88;54760000000.0;-25460000000.0;23230000000.0;23540000000.0;48.04;47.4;74530000000.0;54760000000.0;13.45;16.38;49000000000.0;21620000000.0;28750000000.0;-5870000000.0;58.66;3.2;1.74;3.19;32.16;17.53
CCR;11.96;22440000000.0;-8920000000.0;1380000000.0;6870000000.0;45.2;9.06;32730000000.0;22440000000.0;10.16;2.87;15210000000.0;5470000000.0;7010000000.0;-904540000.0;46.1;2.75;1.98;18.83;6.05;0.64
MINERVA;7.63;7700000000.0;-23270000000.0;350490000.0;5660000000.0;19.56;1.21;13890000000.0;7700000000.0;15.01;16.92;28930000000.0;2170000000.0;2660000000.0;-26480000.0;9.18;7.17;11.31;13.2;0.67;0.58
LOJAS MARISA;0.5;1050000000.0;-512780000.0;-498400000.0;949550000.0;37.33;-19.59;1390000000.0;1050000000.0;-18.84;-21.74;2540000000.0;-276590000.0;-211990000.0;42680000.0;-8.33;0.0;0.56;-0.34;0.89;-1.45
ELETROBRAS;86.01;37180000000.0;-17400000000.0;1550000000.0;17100000000.000002;49.56;4.48;57370000000.0;37180000000.0;6.84;0.35;34490000000.0;11550000000.0;13870000000.0;-5020000.0;40.2;2.39;1.78;116.5;48.29;0.74
REDE D'OR SÃO LUIZ;22.93;2510000000.0;-28280000000.0;1420000000.0;6530000000.0;18.76;4.07;31780000000.0;2510000000.0;6.56;1.77;34810000000.0;4030000000.000001;5690000000.0;-473680000.0;16.34;0.35;2.34;38.54;9.79;0.59
EMBRAER;17.92;6560000000.0;-20800000000.0;-610030000.0;4620000000.0;18.17;-2.4;16800000000.0;6560000000.0;1.87;-1.18;25410000000.0;880420000.0;1930000000.0;-340550000.0;7.58;0.0;1.1;-26.24;16.34;-0.68
AERIS;0.78;938620000.0;-2580000000.0;-106640000.0;386450000.0;13.03;-3.59;1780000000.0;938620000.0;10.02;-3.02;2970000000.0;277760000.0;331350000.0;14370000.0;11.17;0.0;0.71;-5.6;1.1;-0.14
AUREN ENERGIA;13.54;442020000.0;-4640000000.0;3100000000.0;1240000000.0;21.03;52.69;6730000000.0;442020000.0;5.22;5.31;5880000000.0;1620000000.0;2200000000.0;-498020000.0;37.5;11.08;0.92;4.37;14.79;3.1
AREZZO&CO;58.9;345990000.0;-2150000000.0;369280000.0;2460000000.0;53.36;8.02;1030000000.0;345990000.0;12.86;3.43;4610000000.0;496350000.0;698010000.0;6390000.0;15.16;2.69;2.35;17.67;25.08;3.33
RAIA DROGASIL;26.45;2030000000.0;-22210000000.0;1050000000.0;9490000000.0;29.95;3.31;2400000000.0;2030000000.0;23.41;4.9;31700000000.0;1990000000.0;3610000000.0;-136280000.0;11.37;0.58;8.21;44.07;3.22;0.6
BB SEGURIDADE;31.99;-4360000000.0;0.0;7180000000.0;0.0;0.0;0.0;0.0;-4360000000.0;73.91;19.93;0.0;8230000000.0;0.0;-1620000000.0;0.0;10.78;7.15;8.91;4.47;3.59
VIVARA;25.94;13460000.0;-600820000.0;374440000.0;1390000000.0;69.78;18.83;220590000.0;13460000.0;20.4;5.56;1990000000.0;417860000.0;543730000.0;4920000.0;27.34;1.4;3.4;16.36;7.64;1.59
FLEURY S.A.;15.15;3310000000.0;-3760000000.0;294840000.0;1400000000.0;27.08;5.72;4220000000.0;3310000000.0;7.1;2.36;5160000000.0;743550000.0;1270000000.0;-82040000.0;24.72;3.08;1.63;28.08;9.31;0.54
QUALICORP;2.87;1370000000.0;-423620000.0;7810000.0;1430000000.0;77.13;0.42;2250000000.0;1370000000.0;6.19;0.14;1850000000.0;247310000.0;695690000.0;22700000.0;37.55;2.75;0.59;-3498.37;4.86;0.0
