Date,VALE3.SA,KEPL3.SA,VULC3.SA,LEVE3.SA,GGBR4.SA,LREN3.SA,ALSO3.SA,DIRR3.SA,MILS3.SA,RANI3.SA,CSUD3.SA,CLSC4.SA,CMIG4.SA,ITSA4.SA,BBAS3.SA,TASA4.SA,SLCE3.SA,B3SA3.SA,PETR4.SA,SUZB3.SA,KLBN4.SA,BOVA11.SA
2022-01-03,67.60002136230469,5.411728858947754,8.22002124786377,24.831317901611328,21.79401206970215,21.713987350463867,19.669326782226562,11.090656280517578,5.787254333496094,5.496364593505859,10.519989013671875,58.36897277832031,7.8349528312683105,7.2368574142456055,25.051422119140625,21.123929977416992,33.652366638183594,9.98192310333252,13.679245948791504,55.98533630371094,4.361423015594482,99.93000030517578
2022-01-04,66.80268096923828,5.006166458129883,7.717894077301025,26.09954261779785,22.09781265258789,21.450559616088867,19.345001220703125,10.698147773742676,5.436224937438965,5.420956611633301,9.934617042541504,58.36897277832031,7.82887077331543,7.293019771575928,25.07750129699707,20.245920181274414,33.26397705078125,10.196086883544922,13.730971336364746,57.206695556640625,4.3787994384765625,99.56999969482422
2022-01-05,67.43534851074219,4.734382629394531,7.448232173919678,24.38703727722168,21.73004913330078,20.40625762939453,18.27663803100586,9.97702693939209,4.93339729309082,5.278520584106445,9.508130073547363,56.05138397216797,7.579467296600342,7.212787628173828,24.660266876220703,18.0853214263916,33.13451385498047,9.98192310333252,13.199601173400879,56.55843734741211,4.231101036071777,97.0999984741211
2022-01-06,68.79602813720703,4.671013355255127,7.578413009643555,24.44358253479004,21.738048553466797,21.450559616088867,18.000009536743164,9.757950782775879,4.904935836791992,5.152842044830322,9.508130073547363,56.65223693847656,7.415224075317383,7.276973724365234,24.86018943786621,18.068105697631836,34.9550895690918,10.224021911621094,13.19019603729248,56.10747146606445,4.283229827880859,97.8499984741211
2022-01-07,72.80001068115234,4.647074222564697,7.643503665924072,25.28367805480957,21.92992401123047,21.629316329956055,17.78061294555664,9.712310791015625,4.952372074127197,5.22824764251709,10.202214241027832,56.21446990966797,7.457805633544922,7.365228176116943,24.886266708374023,18.30912971496582,34.78517150878906,10.466120719909668,13.251328468322754,55.731666564941406,4.178973197937012,98.69999694824219
2022-01-10,71.93335723876953,4.563989639282227,7.466829299926758,24.314334869384766,22.049846649169922,21.39411163330078,17.246431350708008,9.493236541748047,4.829037189483643,5.278520584106445,9.817541122436523,56.480567932128906,7.390890598297119,7.365228176116943,25.01665496826172,18.257478713989258,35.38393783569336,10.410253524780273,13.171387672424316,55.600135803222656,4.205037593841553,98.43000030517578
2022-01-11,73.30268859863281,4.679462432861328,7.513322353363037,24.726306915283203,22.545528411865234,21.88333511352539,17.5325984954834,9.538877487182617,4.942884922027588,5.161219596862793,9.750640869140625,56.3518180847168,7.603797435760498,7.485574245452881,25.120960235595703,18.33495330810547,35.3515739440918,10.438185691833496,13.561683654785156,55.928958892822266,4.161596298217773,100.0999984741211
2022-01-12,74.10002136230469,4.907591819763184,7.810878753662109,26.091463088989258,23.065196990966797,23.19106674194336,18.467418670654297,9.65754222869873,5.104168891906738,5.4125776290893555,10.361102104187012,55.270267486572266,7.713293075561523,7.461503982543945,25.364351272583008,19.38512420654297,36.51673889160156,10.810646057128906,13.975493431091309,57.89253616333008,4.309293746948242,101.91000366210938
2022-01-13,72.97335052490234,4.81605863571167,7.7550883293151855,25.9864501953125,22.601490020751953,23.2945556640625,18.70589256286621,9.69405460357666,5.142117977142334,5.211491107940674,10.118590354919434,55.57927703857422,7.725458145141602,7.670107841491699,25.772891998291016,18.84282112121582,36.56529235839844,10.792025566101074,14.257638931274414,58.74748611450195,4.248478412628174,101.55000305175781
2022-01-14,73.39802551269531,4.844222545623779,8.015450477600098,25.421001434326172,22.609485626220703,22.55130958557129,19.135143280029297,9.93138599395752,5.123144149780273,5.152842044830322,10.277478218078613,55.708030700683594,7.743707656860352,7.758359909057617,26.433507919311523,18.80838966369629,37.18024444580078,11.378647804260254,14.789009094238281,58.97296905517578,4.231101036071777,103.06999969482422
2022-01-17,73.01668548583984,4.845631122589111,7.559815883636475,24.766695022583008,22.113805770874023,22.099720001220703,18.553268432617188,9.90400218963623,5.341351509094238,5.127705097198486,10.29420280456543,55.53635787963867,7.749789714813232,7.761075019836426,26.485666275024414,18.9202938079834,36.249725341796875,11.50900936126709,14.812519073486328,58.277732849121094,4.074715614318848,102.58000183105469
2022-01-18,74.80200958251953,4.892101764678955,7.624906063079834,25.049423217773438,22.86532211303711,22.109130859375,18.4578800201416,9.584517478942871,5.075706958770752,5.0774335861206055,10.043329238891602,55.53635787963867,7.755873680114746,7.8180251121521,26.72035789489746,18.825607299804688,36.85658264160156,11.462451934814453,14.878353118896484,59.048126220703125,4.178973197937012,102.8499984741211
2022-01-19,76.44869232177734,5.001941680908203,7.829476833343506,25.097888946533203,23.217100143432617,23.379230499267578,19.030216217041016,10.186972618103027,5.284427642822266,5.1947340965271,10.57852554321289,55.79387664794922,7.883617401123047,7.826160907745361,26.95505714416504,18.6534481048584,37.92465591430664,11.415895462036133,14.807817459106445,58.80205535888672,4.283229827880859,104.05000305175781
2022-01-20,75.14868927001953,5.2371110916137695,8.006150245666504,25.35637855529785,22.88930892944336,24.592876434326172,20.003189086914062,11.017630577087402,5.455199241638184,5.203113079071045,10.921387672424316,55.36468505859375,7.914033889770508,7.8180251121521,27.120208740234375,19.144100189208984,37.406803131103516,12.337733268737793,14.915973663330078,57.33795166015625,4.265853404998779,104.9000015258789
